url,title,sources,content_type,fetch_method,folder,has_content,content_indicator,url_type
http://74.220.215.94/~davidkus/index.php?option=com_content&view=article&id=109:the-all-american-bank-heist&catid=35:articles&Itemid=54,The All-American Bank Heist,csv,from_csv,csv_export,Archive,False,0,web
http://a16z.com/2015/05/20/enterprise-sales-for-product-people/,A Product Person’s Perspective on Enterprise Selling | Andreessen Horowitz,csv,from_csv,csv_export,Archive,False,0,web
http://a16z.com/2015/08/21/16-metrics/,16 Startup Metrics | Andreessen Horowitz,csv,from_csv,csv_export,Archive,False,0,web
http://aarongleeman.com/2012/03/07/how-i-lost-150-pounds-in-one-year/,How I lost 150 pounds in one year,csv,from_csv,csv_export,Archive,False,0,web
http://abovethecrowd.com/2016/04/21/on-the-road-to-recap/,On the Road to Recap: | Above the Crowd,csv,from_csv,csv_export,Unread,False,0,web
http://adage.com/article/news/insurance-industry-s-4-billion-advertising-brawl/148992/,How the Insurance Industry Got Into a $4 Billion Ad Brawl,csv,from_csv,csv_export,Unread,False,0,web
http://adequateman.deadspin.com/how-to-kick-ass-during-your-jesus-year-1774311093,How To Kick Ass During Your Jesus Year,csv,from_csv,csv_export,Archive,False,0,web
http://aeon.co/magazine/living-together/americas-artificial-heartland/,The American Cloud,csv,from_csv,csv_export,Archive,False,0,web
http://aeon.co/magazine/philosophy/why-stoicism-is-one-of-the-best-mind-hacks-ever/,Why Stoicism is one of the best mind-hacks ever – Lary Wallace – Aeon,csv,from_csv,csv_export,Archive,False,0,web
http://andrewsullivan.theatlantic.com/the_daily_dish/2011/03/palin-and-trig-she-goes-there-again.html,Palin And Trig - There She Goes Again,csv,from_csv,csv_export,Archive,False,0,web
http://answers.yahoo.com/question/index?qid=20080731221319AA4le7Z,What are the words to the Dr.Seuss book Oh the places you'll go? - Yahoo! Answers,csv,from_csv,csv_export,Archive,False,0,web
http://apps.npr.org/unfit-for-work/,Unfit for Work: The startling rise of disability in America | Planet Money,csv,from_csv,csv_export,Archive,False,0,web
http://articles.latimes.com/print/2002/sep/06/business/fi-tupac6,Who Killed Tupac Shakur? - Los Angeles Times,csv,from_csv,csv_export,Archive,False,0,web
http://awealthofcommonsense.com/2016/03/are-european-stocks-cheap-or-is-the-u-s-expensive/,Are European Stocks Cheap or is the U.S. Expensive?,csv,from_csv,csv_export,Unread,False,0,web
http://awealthofcommonsense.com/2016/04/how-institutional-investors-use-etfs/,How Institutional Investors Use ETFs,csv,from_csv,csv_export,Archive,False,0,web
http://awealthofcommonsense.com/2016/05/silicon-valleys-dumb-money/,Silicon Valley’s Dumb Money,csv,from_csv,csv_export,Archive,False,0,web
http://awealthofcommonsense.com/2017/02/how-the-bogle-model-beats-the-yale-model/,How the Bogle Model Beats the Yale Model,csv,from_csv,csv_export,Archive,False,0,web
http://bigstory.ap.org/article/rising-riches-1-5-us-reaches-affluence-0,Rising riches: 1 in 5 in US reaches affluence,csv,from_csv,csv_export,Unread,False,0,web
http://blog.stephenwolfram.com/2018/11/logic-explainability-and-the-future-of-understanding/,"Logic, Explainability and the Future of Understanding—Stephen Wolfram Blog",csv,from_csv,csv_export,Unread,False,0,web
http://blogs.bulls.com/2011/04/bulls-get-atlanta-in-second-round/,Bulls get Atlanta in Second Round | Blogs.Bulls.com,csv,from_csv,csv_export,Archive,False,0,web
http://blogs.edweek.org/edweek/rick_hess_straight_up/2011/10/getting_moneyball_right.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+RickHessStraightUp+%28Rick+Hess+Straight+Up%29,Getting Moneyball Right,csv,from_csv,csv_export,Archive,False,0,web
http://blogs.hbr.org/2013/09/please-stop-complaining-about/,Please Stop Complaining About How Busy You Are,csv,from_csv,csv_export,Archive,False,0,web
http://blogs.plos.org/thepanicvirus/2012/08/03/jonah-lehrers-missing-compass/,Jonah Lehrer’s missing compass | The Panic Virus,csv,from_csv,csv_export,Archive,False,0,web
http://blogs.reuters.com/great-debate/2012/02/22/the-book-of-steve-jobs-apple/,The Book of Jobs | The Great Debate,csv,from_csv,csv_export,Starred,False,0,web
http://blogs.wsj.com/economics/2015/06/01/does-immigration-suppress-wages-its-not-so-simple/,Does Immigration Suppress Wages? It’s Not So Simple - Real Time Economics - WSJ,csv,from_csv,csv_export,Unread,False,0,web
http://blogs.wsj.com/moneybeat/2016/06/17/everything-is-more-expensive-than-it-looks/,Everything Is More Expensive Than It Looks,csv,from_csv,csv_export,Starred,False,0,web
http://blogs.wsj.com/numbers/on-401ks-ficos-and-other-numbers-investors-should-know-1885/,"On 401(k)s, FICOs and Other Numbers Investors Should Know The Numbers",csv,from_csv,csv_export,Feedly,False,75,web
http://blogs.wsj.com/numbersguy/weighing-the-beef-1037/tab/print/,"Weighing the Meat in Fast Food, After Taco Bell Lawsuit - The Numbers Guy - WSJ",csv,from_csv,csv_export,Archive,False,0,web
http://bluesummernights.blogspot.com/2005/07/mysterious-circumstances.html,Blue Summer Nights: MYSTERIOUS CIRCUMSTANCES,csv,from_csv,csv_export,Starred,False,0,web
http://boss.blogs.nytimes.com/2013/01/30/would-you-pay-6-2-million-for-this-business/?src=rechp&gwh=F5AE5CEB6F6665460D7BBF64AA736A4F,Would You Pay $6.2 Million for This Business? - NYTimes.com,csv,from_csv,csv_export,Unread,False,0,web
http://bostonreview.net/BR30.5/warrentyagi.php,Boston Review — warrentyagi.php,csv,from_csv,csv_export,Archive,False,0,web
http://casnocha.com/reid-hoffman-lessons,"10,000 Hours with Reid Hoffman: What I Learned",csv,from_csv,csv_export,Archive,False,0,web
http://chicagoagainstobama.wordpress.com/2008/05/17/barack-obama-formerly-known-as-barry-soetoro/,"BARACK OBAMA, FORMERLY KNOWN AS BARRY SOETORO « Chicagoans Against Obama",csv,from_csv,csv_export,Archive,False,0,web
http://chronicle.com/article/The-Shadow-Scholar/125329/,The Chronicle Review,csv,from_csv,csv_export,Starred,False,0,web
http://chronicle.com/article/Why-Privacy-Matters-Even-if/127461/,Why Privacy Matters Even if You Have 'Nothing to Hide' - The Chronicle Review - The Chronicle of Higher Education,csv,from_csv,csv_export,Archive,False,0,web
http://city-journal.org/html/finnish-model-14302.html,The Finnish Model,csv,from_csv,csv_export,Unread,False,0,web
http://cnnsi.printthis.clickability.com/pt/cpt?&urlID=411273887&action=cpt&partnerID=289881,"In which the venturous author, the rawest rookie pro - 09.14.64 - SI Vault",csv,from_csv,csv_export,Archive,False,0,web
http://copirite.blogspot.com/2005/03/city-of-water.html,Cribsheet: City of Water,csv,from_csv,csv_export,Archive,False,0,web
http://dangrover.com/blog/2016/04/20/bots-wont-replace-apps.html,Bots won't replace apps. Better apps will replace apps.,csv,from_csv,csv_export,Unread,False,0,web
http://deadspin.com/#!5789399/the-epic-story-of-a-new-jersey-prosecutor-who-stole-my-idea-and-made-fantasy-baseball-history,The Epic Story Of A New Jersey Prosecutor Who Stole My Idea And Made Fantasy Baseball History,csv,from_csv,csv_export,Archive,False,0,web
http://deadspin.com/the-fake-all-star-team-on-a-bender-that-inspired-irelan-1791079517,The Fake All-Star Team On A Bender That Inspired Ireland To Play Basketball,csv,from_csv,csv_export,Unread,False,0,web
http://deadspin.com/the-mostly-sexless-sex-scandal-that-shook-espn-511543801,The Mostly Sexless Sex Scandal That Shook ESPN,csv,from_csv,csv_export,Archive,False,0,web
http://dealnews.com/index.html?sort=time&view=large,"dealnews.com: Best Deals & Coupons on Laptops, Desktop Computers, HDTV, Dell, HP, Sony, Apple",csv,from_csv,csv_export,Archive,False,0,web
http://digg.com/2018/high-cost-drugs,The Impossible Burden Of High-Cost Drugs - Digg,csv,from_csv,csv_export,Unread,False,38,web
http://dilbert.com/blog/entry/the_presidential_pitch_tv_show/,The Presidential Pitch TV Show,csv,from_csv,csv_export,Archive,False,0,web
http://douthat.blogs.nytimes.com/2011/03/01/the-partial-vindication-of-the-tea-party/?pagemode=print,The (Partial) Vindication of the Tea Party - NYTimes.com,csv,from_csv,csv_export,Archive,False,0,web
http://douthat.blogs.nytimes.com/2011/04/15/all-the-presidents-sanctimony/?pagemode=print,All the President's Sanctimony - NYTimes.com,csv,from_csv,csv_export,Archive,False,0,web
http://dyn.politico.com/printstory.cfm?uuid=58FF3870-A835-41BF-AEA2-4AAA936CAFB9,Egypt: It's not about Mubarak - POLITICO.com Print View,csv,from_csv,csv_export,Archive,False,0,web
http://dyn.politico.com/printstory.cfm?uuid=9E179D0C-FBA2-43DE-8FF7-03FFB1A19A09,Jeb: GOP 'stupid' to ignore Hispanics - POLITICO.com Print View,csv,from_csv,csv_export,Archive,False,0,web
http://dyn.politico.com/printstory.cfm?uuid=9FFDA151-9A58-6CA4-E8E3779A3607C35C,Fixing Social Security is progressive - POLITICO.com Print View,csv,from_csv,csv_export,Archive,False,0,web
http://dyn.politico.com/printstory.cfm?uuid=D9318EBE-EB79-47DF-B281-6C6BA8A5DCE9,Conservatives plan $2.5 trillion in cuts - POLITICO.com Print View,csv,from_csv,csv_export,Archive,False,0,web
http://economist.com/node/16588026/print,The father of Islamic fundamentalism: Portrait of a revolutionary | The Economist,csv,from_csv,csv_export,Archive,False,0,web
http://english.aljazeera.net/indepth/opinion/2011/03/201132771814130985.html,Moral bankruptcy in Libya war - Opinion,csv,from_csv,csv_export,Archive,False,0,web
http://espn.go.com,ESPN: The Worldwide Leader in Sports,csv,from_csv,csv_export,Unread,False,0,web
