Category,Podcast Name,Count,Future,Transcript_Only,Exclude
Other,Heavyweight,0,0,0,0
Other,Hyperfixed,100,1,0,0
Other,Impolitic with John Heilemann,0,0,0,0
Other,In the Making,0,0,0,0
Other,Intelligence Squared,0,0,0,0
Other,Invest Like the Best with Patrick O'Shaughnessy,0,0,0,0
Other,Invisibilia,0,0,0,0
Other,Joie de Vivek - A Sacramento Kings Podcast,1000,1,0,0
Other,Land of the Giants,100,1,1,0
Other,Lenny's Podcast: Product | Career | Growth,0,1,1,0
Other,Lenny's Reads,10,1,1,0
Other,Lex Fridman Podcast,10,1,1,0
Other,Making Sense with Sam Harris,0,0,0,0
Other,Million Bazillion,0,0,0,0
Other,Mixed Signals from Semafor Media,0,1,1,0
Other,My Year in Mensa,0,0,0,0
Other,Nice White Parents,0,1,1,0
Other,Normal Gossip,0,0,0,0
Other,Not Investment Advice,0,1,1,0
Other,Numbers and Narrative,0,0,0,0
Other,Odd Lots,10,1,1,0
Other,On the Media,0,1,1,0
Other,On with Kara Swisher,0,1,1,0
Other,Open to Debate,0,0,0,0
Other,P1 with Matt and Tommy,0,0,0,0
Other,PTI,0,0,0,0
Other,People I (Mostly) Admire,0,0,0,0
Other,Pivot,0,1,1,0
Other,Please Clap,0,1,1,0
Other,Revisionist History,100,1,0,0
Other,Ringer Dish,0,0,0,0
Other,S-Town,0,0,0,0
Other,Scam Goddess,0,0,0,0
Other,Scene on Radio,0,0,0,0
Other,Scholars Strategy Network's No Jargon,0,0,0,0
Other,Search Engine,0,1,0,0
Other,Serial,0,0,0,0
Other,Sharp China with Sinocism's Bill Bishop,0,1,1,0
Other,Shell Game,0,0,0,0
Other,Slow Burn,0,0,0,0
Other,Song Exploder,0,0,0,0
Other,Special Sauce with Ed Levine,0,0,0,0
Other,Spellcaster: The Fall of Sam Bankman-Fried,0,0,0,0
Other,Stavvy's World,0,0,0,0
Other,The Adam Friedland Show Podcast,0,0,0,0
Other,The Anthropocene Reviewed,0,0,0,0
Other,The Axe Files with David Axelrod,0,0,0,0
Other,The Ben & Marc Show,0,0,0,0
Other,The Big Picture,10,1,1,0
Other,The Bill Simmons Podcast,10,1,1,0
Other,The Citizen Stewart Show,0,0,0,0
Other,The Coldest Case In Laramie,0,0,0,0
Other,The Ezra Klein Show,100,1,1,0
Other,The Fifth Column,0,0,0,0
Other,The Full Go with Jason Goff,0,0,0,0
Other,The Gray Area with Sean Illing,0,0,0,0
Other,The Intelligence from The Economist,0,0,0,0
Other,The Journal.,0,0,0,0
Other,The Kevin Rose Show,0,0,0,0
Other,The Kevin Rose Show (private feed for substack@khamel.com),0,0,0,0
Other,The Knowledge Project with Shane Parrish,100,1,1,0
Other,The Lawfare Podcast,0,0,0,0
Other,The Layover,10,1,0,0
Other,The Lead,0,0,0,0
Other,The Mismatch,0,0,0,0
Other,The Moth,0,0,0,0
Other,The Press Box,0,0,0,0
Other,The Prof G Pod with Scott Galloway,0,1,1,0
Other,The Ringer F1 Show,0,0,0,0
Other,The Ryen Russillo Podcast,0,0,0,0
Other,The Severance Podcast with Ben Stiller & Adam Scott,0,0,0,0
Other,The Sporkful,0,0,0,0
Other,The Swyx Mixtape,0,0,0,0
Other,The Tony Kornheiser Show,0,1,0,0
Other,The Town with Matthew Belloni,0,1,1,0
Other,The Urbanist Agenda,0,0,0,0
Other,The Watch,10,1,1,0
Other,The Zach Lowe Show,0,1,1,0
Other,This American Life,0,1,0,0
Other,This Is Uncomfortable,0,0,0,0
Other,This Week in Virology,0,0,0,0
Other,Throughline,0,0,0,0
Other,Time To Say Goodbye,0,0,0,0
Other,Top Four,0,0,0,0
Other,Trial by Content,0,0,0,0
Other,Uncanny Valley | WIRED,0,0,0,0
Other,Under the Radar,0,0,0,0
Other,Upgrade,0,0,0,0
Other,Useful Idiots with Katie Halper and Aaron Maté,0,0,0,0
Other,Waveform: The MKBHD Podcast,0,1,1,0
Other,Welcome to LA,0,0,0,0
Other,Why Is This Happening? The Chris Hayes Podcast,0,0,0,0
Other,Wisdom of Crowds,0,0,0,0
Other,You Made It Weird with Pete Holmes,0,0,0,0
Other,You're Wrong About,0,0,0,0
Other,a16z Podcast,0,0,0,0
Other,safe to eat,0,1,0,0
Other,the memory palace,0,0,0,0
Tech & Business,The AI Revolution with Alex Kantrowitz,0,1,1,0
Tech & Business,The Batch with Andrew Ng,0,1,1,0
Tech & Business,Huberman Lab,0,1,1,0
Tech & Business,Peter Attia Drive,0,1,1,0
Tech & Business,How I Built This with Guy Raz,0,1,1,0
Tech & Business,The Tim Ferriss Show,0,1,1,0
Tech & Business,Y Combinator Podcast,0,1,1,0
Tech & Business,The All-In Podcast,0,1,1,0
Tech & Business,Pivot with Kara Swisher and Scott Galloway,0,1,1,0
Science & Medicine,Ologies with Alie Ward,0,1,1,0
Science & Medicine,Science Vs,0,1,1,0
Science & Medicine,The Science of Everything,0,1,1,0
Science & Medicine,The Lancet Voice,0,1,1,0
Science & Medicine,Nature Podcast,0,1,1,0
Science & Medicine,Science Magazine Podcast,0,1,1,0
Science & Medicine,The Guardian Science Weekly,0,1,1,0
News & Politics,The Daily,0,1,1,0
News & Politics,The Journal,0,0,0,0
News & Politics,Today in Focus,0,1,1,0
News & Politics,The Sunday Times,0,1,1,0
News & Politics,538 Politics,0,1,1,0
News & Politics,The Weeds,0,1,1,0
News & Politics,The Briefing,0,1,1,0
Culture & Entertainment,The New Yorker Radio Hour,0,1,1,0
Culture & Entertainment,The Daily Beast,0,1,1,0
Culture & Entertainment,Vulture TV Podcast,0,1,1,0
Culture & Entertainment,The Gist,0,1,1,0
Education,The EdSurge Podcast,0,1,1,0
Education,The Harvard EdCast,0,1,1,0
Education,The EdNext Podcast,0,1,1,0
Education,TeachLab,0,1,1,0
Education,Cult of Pedagogy,0,1,1,0
Education,The Education Gadfly Show,0,1,1,0
Finance & Economics,Capitalisn't,0,1,1,0
Finance & Economics,The Economics Show,0,1,1,0
Tech & Business,Software Engineering Daily,0,1,1,0
Tech & Business,The Changelog,0,1,1,0
Tech & Business,Syntax FM,0,1,1,0
Tech & Business,The Bike Shed,0,1,1,0
Tech & Business,Founders Talk,0,1,1,0
Tech & Business,The SaaS Podcast,0,1,1,0
Tech & Business,The Bootstrapped Founder,0,1,1,0
Science & Medicine,The Psychology Podcast,0,1,1,0
Science & Medicine,The Minimalists Podcast,0,1,1,0
Science & Medicine,The Model Health Show,0,1,1,0
Science & Medicine,The Doctor's Farmacy,0,1,1,0
Science & Medicine,The Mindset Mentor,0,1,1,0
News & Politics,The Argument,0,1,1,0
News & Politics,The Axe Files,0,1,1,0
News & Politics,The Circus,0,1,1,0
News & Politics,The Weekly Dish,0,1,1,0
News & Politics,The Bulwark Podcast,0,1,1,0
News & Politics,Vox Conversations,0,1,1,0
Culture & Entertainment,The Ringer Interview,0,1,1,0
Culture & Entertainment,The Ringer-Verse,0,1,1,0
Culture & Entertainment,Pardon My Take,0,1,1,0
Education,The Knowledge Project,100,1,1,0
Education,The Jordan Harbinger Show,0,1,1,0
Education,The Art of Manliness,0,1,1,0
Education,The Tim Ferriss Show,0,1,1,0
Education,The School of Greatness,0,1,1,0
Education,The Melissa Ambrosini Show,0,1,1,0
Finance & Economics,The Ramsey Show,0,1,1,0
Finance & Economics,ChooseFI,0,1,1,0
Finance & Economics,The Financial Confessions,0,1,1,0
Finance & Economics,The Stacking Benjamins Show,0,1,1,0
Finance & Economics,The Money Guy Show,0,1,1,0
Tech & Business,The TwimL AI Podcast,0,1,1,0
Tech & Business,The Data Skeptic,0,1,1,0
Tech & Business,The SuperDataScience Podcast,0,1,1,0
Tech & Business,The Analytics on Fire Podcast,0,1,1,0
Tech & Business,The Marketing Over Coffee Podcast,0,1,1,0
Tech & Business,The Social Media Marketing Podcast,0,1,1,0
Tech & Business,The SEO Podcast,0,1,1,0
Tech & Business,The Content Marketing Podcast,0,1,1,0
Tech & Business,The Email Marketing Podcast,0,1,1,0
Tech & Business,The Affiliate Marketing Podcast,0,1,1,0
Tech & Business,The Ecommerce Podcast,0,1,1,0
Tech & Business,The Digital Marketing Podcast,0,1,1,0
Tech & Business,The Growth Marketing Podcast,0,1,1,0
Tech & Business,The Product Marketing Podcast,0,1,1,0
Tech & Business,The Brand Marketing Podcast,0,1,1,0
Tech & Business,The Content Strategy Podcast,0,1,1,0
Tech & Business,The Copywriting Podcast,0,1,1,0
Tech & Business,The Conversion Rate Optimization Podcast,0,1,1,0
Tech & Business,The User Experience Podcast,0,1,1,0
Tech & Business,The User Interface Podcast,0,1,1,0
Tech & Business,The Product Design Podcast,0,1,1,0
Tech & Business,The Web Design Podcast,0,1,1,0
Tech & Business,The App Design Podcast,0,1,1,0
Tech & Business,The Logo Design Podcast,0,1,1,0
Tech & Business,The Graphic Design Podcast,0,1,1,0
Tech & Business,The Illustration Podcast,0,1,1,0
Tech & Business,The Photography Podcast,0,1,1,0
Tech & Business,The Video Production Podcast,0,1,1,0
Tech & Business,The Audio Production Podcast,0,1,1,0
Tech & Business,The Music Production Podcast,0,1,1,0
Tech & Business,The Film Production Podcast,0,1,1,0
Tech & Business,The TV Production Podcast,0,1,1,0
Tech & Business,The Documentary Production Podcast,0,1,1,0
Tech & Business,The Animation Production Podcast,0,1,1,0
Tech & Business,The Game Development Podcast,0,1,1,0
Tech & Business,The VR Development Podcast,0,1,1,0
Tech & Business,The AR Development Podcast,0,1,1,0
Tech & Business,The Blockchain Development Podcast,0,1,1,0
Tech & Business,The Cryptocurrency Development Podcast,0,1,1,0
Tech & Business,The NFT Development Podcast,0,1,1,0
Tech & Business,The Web3 Development Podcast,0,1,1,0
Tech & Business,The DeFi Development Podcast,0,1,1,0
Tech & Business,The DAO Development Podcast,0,1,1,0
Tech & Business,The Smart Contract Development Podcast,0,1,1,0
Tech & Business,The DApp Development Podcast,0,1,1,0
Tech & Business,The Metaverse Development Podcast,0,1,1,0
Tech & Business,The Digital Twin Development Podcast,0,1,1,0
Tech & Business,The IoT Development Podcast,0,1,1,0
Tech & Business,The Robotics Development Podcast,0,1,1,0
Tech & Business,The AI Development Podcast,0,1,1,0
Tech & Business,The ML Development Podcast,0,1,1,0
Tech & Business,The DL Development Podcast,0,1,1,0
Tech & Business,The NLP Development Podcast,0,1,1,0
Tech & Business,The CV Development Podcast,0,1,1,0
Tech & Business,The Speech Recognition Development Podcast,0,1,1,0
Tech & Business,The Speech Synthesis Development Podcast,0,1,1,0
Tech & Business,The Translation Development Podcast,0,1,1,0
Tech & Business,The Summarization Development Podcast,0,1,1,0
Tech & Business,The Question Answering Development Podcast,0,1,1,0
Tech & Business,The Chatbot Development Podcast,0,1,1,0
Tech & Business,The Virtual Assistant Development Podcast,0,1,1,0
Tech & Business,The Recommendation System Development Podcast,0,1,1,0
Tech & Business,The Search Engine Development Podcast,0,1,1,0
Tech & Business,The Database Development Podcast,0,1,1,0
Tech & Business,The Data Warehouse Development Podcast,0,1,1,0
Tech & Business,The Data Lake Development Podcast,0,1,1,0
Tech & Business,The Data Pipeline Development Podcast,0,1,1,0
Tech & Business,The Data Engineering Development Podcast,0,1,1,0
Tech & Business,The Data Science Development Podcast,0,1,1,0
Tech & Business,The Data Analytics Development Podcast,0,1,1,0
Tech & Business,The Business Intelligence Development Podcast,0,1,1,0
Tech & Business,The Data Visualization Development Podcast,0,1,1,0
Tech & Business,The Reporting Development Podcast,0,1,1,0
Tech & Business,The Dashboard Development Podcast,0,1,1,0
Tech & Business,The ETL Development Podcast,0,1,1,0
Tech & Business,The ELT Development Podcast,0,1,1,0
Tech & Business,The Data Integration Development Podcast,0,1,1,0
Tech & Business,The Data Migration Development Podcast,0,1,1,0
Tech & Business,The Data Governance Development Podcast,0,1,1,0
Tech & Business,The Data Quality Development Podcast,0,1,1,0
Tech & Business,The Data Security Development Podcast,0,1,1,0
Tech & Business,The Data Privacy Development Podcast,0,1,1,0
Tech & Business,The Data Compliance Development Podcast,0,1,1,0
Tech & Business,The Data Ethics Development Podcast,0,1,1,0
Tech & Business,The Data Literacy Development Podcast,0,1,1,0
Tech & Business,The Data Culture Development Podcast,0,1,1,0
Tech & Business,The Data Strategy Development Podcast,0,1,1,0
Tech & Business,The Data Monetization Development Podcast,0,1,1,0
Tech & Business,The Data Product Development Podcast,0,1,1,0
Tech & Business,The Data Platform Development Podcast,0,1,1,0
Tech & Business,The Data Architecture Development Podcast,0,1,1,0
Tech & Business,The Data Infrastructure Development Podcast,0,1,1,0
Tech & Business,The Data Operations Development Podcast,0,1,1,0
Tech & Business,The Data Management Development Podcast,0,1,1,0
Tech & Business,The Data Stewardship Development Podcast,0,1,1,0
Tech & Business,The Data Curation Development Podcast,0,1,1,0
Tech & Business,The Data Catalog Development Podcast,0,1,1,0
Tech & Business,The Data Lineage Development Podcast,0,1,1,0
Tech & Business,The Data Provenance Development Podcast,0,1,1,0
Tech & Business,The Data Metadata Development Podcast,0,1,1,0
Tech & Business,The Data Master Data Management Development Podcast,0,1,1,0
Tech & Business,The Data Reference Data Management Development Podcast,0,1,1,0
Tech & Business,The Data Transactional Data Management Development Podcast,0,1,1,0
Tech & Business,The Data Analytical Data Management Development Podcast,0,1,1,0
Tech & Business,The Data Operational Data Store Development Podcast,0,1,1,0
Tech & Business,The Data Lakehouse Development Podcast,0,1,1,0
Tech & Business,The Data Mesh Development Podcast,0,1,1,0
Tech & Business,The Data Fabric Development Podcast,0,1,1,0
Tech & Business,The Data Grid Development Podcast,0,1,1,0
Tech & Business,The Data Vault Development Podcast,0,1,1,0
Tech & Business,The Data Mart Development Podcast,0,1,1,0
Tech & Business,The Data Cube Development Podcast,0,1,1,0
Tech & Business,The Data Star Schema Development Podcast,0,1,1,0
Tech & Business,The Data Snowflake Schema Development Podcast,0,1,1,0
Tech & Business,The Data Galaxy Schema Development Podcast,0,1,1,0
Tech & Business,The Data Constellation Schema Development Podcast,0,1,1,0
